vaultIdx,tokenName,owner,cdr,collateral,debt
65,WETH,0x0a3043F9d2b1c6cCfc492EB59Af5156F378c57BD,0,0,0
66,WETH,0xF82c65D8fEeB9f1d7121D880C279A51AFf6C0376,101608082165119330,64440458090619560,1174.3783261869899
67,WETH,0x9c22006Fe75AD2a354e37931296969d2d9116760,78827737700157840,2571393657396681,60.40420435916712
68,WETH,0x80a7A8023E8770522dFe0c2Dc61f329c2e6923E8,0,0,0
69,WETH,0xdD876033288d1D4e26F7458C832e2dA1c8519419,102873888888888880,194444444444444450,3500
70,WETH,0x95cd37Cf17775745D1013DbCdaC9b0374cE04752,0,0,0
71,WETH,0xa4dDA080E000478EB51C5a9e1122f98Ca76ebD8E,110086205624294200,910388888888888.9,15.313402870615384
72,WETH,0xB16C93cb45553bB442812034981FE44446Fd776B,0,0,0
73,WETH,0x4BA5553E964dF6658776975AA9760c372C6Aa285,266307082260523650,71907643733299030,500
74,WETH,0x89ACf9328dc8D293f7f9E4c69fcff5C2cF2efFEf,0,0,0
75,WETH,0xCe462C13F461DEEB3Ec2dAaDd5e7d5F90Bb8F0b2,0,0,0
76,WETH,0x029B1867F883f11f82216fe1f13dB57E97EaBd9C,0,0,0
77,WETH,0x7D3447F3D8c21B1adb7359B2e51bbFF42eC9a32d,Infinity,222222222222222.22,0
78,WETH,0xF7C8a4a99bA34B4744D08999Dd017B5FAa4d3378,102873888888888880,55555555555555550,1000
79,WETH,0xc9D8679818D2d27d236c2A9a7704cc11C6E83DA4,0,0,0
80,WETH,0xb888f9f40F6007C06681306bba976F5e25691E1b,170806448122926750,44087397913246480,477.955945077333
81,WETH,0x2b0B8Aadb9b16465a0cF526b63adEA97a4F45e54,361994810448591000,1954900608882455.5,10
82,WETH,0x92bb51B7210b038375afd53D49AAc316A1504A3E,0,0,0
83,WETH,0x18B0046eF6Ee3fD03bA91A190e37E7AE72b89D8b,0,0,0
84,WETH,0x5853eD4f26A3fceA565b3FBC698bb19cdF6DEB85,0,0,0
85,WETH,0xA0958d0b5496C93959B1725bBFe35872159C8511,0,0,0
86,WETH,0x6872D36A512F5C823DDd1b0C455801453889ca90,132266428571428580,50000000000000000,700
87,WETH,0x49a5492FDFe5AcC966dD5f41310dfDfe8dAA349C,0,0,0
88,WETH,0x0A1e69dAaA4cde39F8519433f425a4e5CA8d59A1,102873888888888880,16666666666666666,300
89,WETH,0x03886228BB749eEBA43426D2D6B70eba472F4876,138301882825806990,178662332499852400,2392.117838168855
90,WETH,0x8888889e3B23CcF5C4389a3e1E11CB42346e3668,0,0,0
91,WETH,0x48c7e0db3DAd3FE4Eb0513b86fe5C38ebB4E0F91,102921430127883000,11111111111111112,199.90761644307693
92,WETH,0x65592A271D9db62dcb39f9Cc3e979f4cBc175F8D,0,0,0
93,WETH,0x6F3a8f9fD0da6b3ea4860AD7df347A06F1C65bdB,111446712962962960,36111111111111110,600
94,WETH,0x50A708E5dfE836601931Af3ff6169e5F4e5536ea,97653446212150530,2777777777777778,52.6729433928
95,WETH,0x64E4748AC493C5C157f2CAa6952c37d86980Bb23,96261167413604800,196701835055411520,3783.859045279754
96,WETH,0x2E690a44d237E5378A496892d49a62896c991580,0,0,0
97,WETH,0xc928499a080594C8854D1A46DCAe5E862acC5d08,116792120915032670,1072222222222222200,17000
98,WETH,0x1A69208eB1cf5576807e373FC01594cBCc3d022F,127750880500478700,63821945731692240000,925089.6049151194
